edinet_code,year,avg_salary,avg_age,employees_nonconsolidated,source,period_end,doc_id
E02563,2024,7427000,43.0,193.0,tag,2024-03-31,S100TPBC
E02563,2025,8100000,43.5,200.0,tag,2025-03-31,S100W88G
E02563,2026,9355000,42.5,198.0,tag,2026-03-31,S100YF48
E02566,2017,6503683,43.7,195.0,textblock,2017-03-31,S100ASWI
E02566,2018,6430865,43.9,196.0,textblock,2018-03-31,S100DH5K
E02566,2019,6262898,44.1,211.0,tag,2019-03-31,S100GDQJ
E02566,2020,6360533,44.2,209.0,tag,2020-03-31,S100J7E3
E02566,2021,5682960,45.0,196.0,tag,2021-03-31,S100LUQL
E02566,2022,5738461,43.8,202.0,tag,2022-03-31,S100OE18
E02566,2023,5807852,44.3,214.0,tag,2023-03-31,S100R286
E02566,2024,6402259,44.5,211.0,tag,2024-03-31,S100TWCW
E02566,2025,6656287,44.6,208.0,tag,2025-03-31,S100W7AF
E02566,2026,6685089,44.2,217.0,tag,2026-03-31,S100YL2H
E02567,2017,8657000,38.6,1206.0,textblock,2017-03-31,S100AKJJ
E02567,2018,8884000,38.7,1236.0,textblock,2018-03-31,S100DB9L
E02567,2019,9066000,39.1,1243.0,tag,2019-03-31,S100FZAP
E02567,2020,9173000,39.3,1275.0,tag,2020-03-31,S100IX1A
E02567,2021,8959000,39.3,1306.0,tag,2021-03-31,S100LJ1L
E02567,2022,9001000,39.6,1319.0,tag,2022-03-31,S100OB0D
E02567,2023,9413000,39.7,1351.0,tag,2023-03-31,S100R0HX
E02567,2024,9702000,39.6,1321.0,tag,2024-03-31,S100TNQ1
E02567,2025,10254000,39.9,1368.0,tag,2025-03-31,S100VY24
E02567,2026,10206000,39.8,1384.0,tag,2026-03-31,S100YBEM
E02569,2017,6343569,43.9,562.0,textblock,2017-03-31,S100AOVD
E02569,2018,6598923,44.2,559.0,textblock,2018-03-31,S100DFBR
E02569,2019,6823038,44.2,559.0,tag,2019-03-31,S100G8SR
E02569,2020,6579704,44.5,575.0,tag,2020-03-31,S100J85Q
E02569,2021,6481628,44.8,588.0,tag,2021-03-31,S100LP72
E02569,2022,6615920,45.2,595.0,tag,2022-03-31,S100ODUC
E02569,2023,6789729,45.3,598.0,tag,2023-03-31,S100R8MG
E02569,2024,6803012,45.4,611.0,tag,2024-03-31,S100TVIM
