edinet_code,year,ordinary_income,oi_basis,employees_consolidated,employees_nonconsolidated,source_year,back
E00064,2022,2779000000,consolidated,,,2026,4
E00064,2023,2702000000,consolidated,,,2026,3
E00064,2024,767000000,consolidated,,,2026,2
E00064,2025,3843000000,consolidated,,,2026,1
E00064,2026,6231000000,consolidated,771,742,2026,0
E00065,2022,6224000000,consolidated,,,2026,4
E00065,2023,965000000,consolidated,,,2026,3
E00065,2024,2278000000,consolidated,,,2026,2
E00065,2025,3026000000,consolidated,,,2026,1
E00065,2026,5873000000,consolidated,1837,1693,2026,0
E00066,2022,5590000000,consolidated,,,2026,4
E00066,2023,4957000000,consolidated,,,2026,3
E00066,2024,5707000000,consolidated,,,2026,2
E00066,2025,5206000000,consolidated,,,2026,1
E00066,2026,5997000000,consolidated,1644,1060,2026,0
E00069,2022,3425000000,consolidated,,,2026,4
E00069,2023,2873000000,consolidated,,,2026,3
E00069,2024,4986000000,consolidated,,,2026,2
E00069,2025,5098000000,consolidated,,,2026,1
E00069,2026,6413000000,consolidated,885,880,2026,0
E00073,2022,11959000000,consolidated,,,2026,4
E00073,2023,-1905000000,consolidated,,,2026,3
E00073,2024,12742000000,consolidated,,,2026,2
E00073,2025,23434000000,consolidated,,,2026,1
E00073,2026,27474000000,consolidated,4697,3465,2026,0
E00074,2022,31754000000,consolidated,,,2026,4
E00074,2023,34059000000,consolidated,,,2026,3
E00074,2024,42648000000,consolidated,,,2026,2
E00074,2025,59498000000,consolidated,,,2026,1
E00074,2026,84981000000,consolidated,10850,8110,2026,0
E00075,2022,39977000000,consolidated,,,2026,4
E00075,2023,40243000000,consolidated,,,2026,3
E00075,2024,45982000000,consolidated,,,2026,2
E00075,2025,64546000000,consolidated,,,2026,1
E00075,2026,94493000000,consolidated,15440,8676,2026,0
E00076,2022,13394000000,consolidated,,,2026,4
E00076,2023,8983000000,consolidated,,,2026,3
E00076,2024,12679000000,consolidated,,,2026,2
E00076,2025,15360000000,consolidated,,,2026,1
E00076,2026,22639000000,consolidated,6487,5029,2026,0
E00079,2022,2607000000,consolidated,,,2026,4
E00079,2023,649000000,consolidated,,,2026,3
E00079,2024,1717000000,consolidated,,,2026,2
E00079,2025,1646000000,consolidated,,,2026,1
E00079,2026,3100000000,consolidated,808,435,2026,0
E00080,2022,10138000000,consolidated,,,2026,4
E00080,2023,6614000000,consolidated,,,2026,3
E00080,2024,16630000000,consolidated,,,2026,2
E00080,2025,20073000000,consolidated,,,2026,1
E00080,2026,24600000000,consolidated,2145,1880,2026,0
E00081,2022,6781000000,consolidated,,,2026,4
E00081,2023,6546000000,consolidated,,,2026,3
E00081,2024,7699000000,consolidated,,,2026,2
E00081,2025,5228000000,consolidated,,,2026,1
E00081,2026,6426000000,consolidated,900,808,2026,0
E00083,2022,14012000000,consolidated,,,2026,4
E00083,2023,12908000000,consolidated,,,2026,3
E00083,2024,14878000000,consolidated,,,2026,2
E00083,2025,8926000000,consolidated,,,2026,1
E00083,2026,25313000000,consolidated,2586,2492,2026,0
E00086,2022,15659000000,consolidated,,,2026,4
E00086,2023,1415000000,consolidated,,,2026,3
E00086,2024,27221000000,consolidated,,,2026,2
E00086,2025,18839000000,consolidated,,,2026,1
E00086,2026,53195000000,consolidated,3991,3439,2026,0
E00090,2022,81871000000,consolidated,,,2026,4
E00090,2023,88265000000,consolidated,,,2026,3
E00090,2024,83334000000,consolidated,,,2026,2
E00090,2025,83408000000,consolidated,,,2026,1
E00090,2026,94051000000,consolidated,8875,2711,2026,0
E00092,2022,3257000000,consolidated,,,2026,4
E00092,2023,2770000000,consolidated,,,2026,3
E00092,2024,5212000000,consolidated,,,2026,2
E00092,2025,3342000000,consolidated,,,2026,1
E00092,2026,5518000000,consolidated,1687,1334,2026,0
E00093,2022,2712000000,consolidated,,,2026,4
E00093,2023,1939000000,consolidated,,,2026,3
E00093,2024,1602000000,consolidated,,,2026,2
E00093,2025,3710000000,consolidated,,,2026,1
E00093,2026,6609000000,consolidated,680,605,2026,0
E00094,2022,45217000000,consolidated,,,2026,4
E00094,2023,33771000000,consolidated,,,2026,3
E00094,2024,36922000000,consolidated,,,2026,2
E00094,2025,43508000000,consolidated,,,2026,1
E00094,2026,52723000000,consolidated,17751,3781,2026,0
E00095,2022,9316000000,consolidated,,,2026,4
E00095,2023,5054000000,consolidated,,,2026,3
E00095,2024,1259000000,consolidated,,,2026,2
E00095,2025,5204000000,consolidated,,,2026,1
E00095,2026,7332000000,consolidated,1700,1072,2026,0
E00097,2022,3381000000,consolidated,,,2026,4
E00097,2023,3458000000,consolidated,,,2026,3
E00097,2024,2947000000,consolidated,,,2026,2
E00097,2025,3366000000,consolidated,,,2026,1
E00097,2026,6124000000,consolidated,1004,841,2026,0
E00098,2022,13976000000,consolidated,,,2026,4
E00098,2023,13310000000,consolidated,,,2026,3
E00098,2024,11609000000,consolidated,,,2026,2
E00098,2025,13169000000,consolidated,,,2026,1
E00098,2026,17712000000,consolidated,1399,1028,2026,0
E00105,2022,-627000000,consolidated,,,2026,4
E00105,2023,3134000000,consolidated,,,2026,3
E00105,2024,3835000000,consolidated,,,2026,2
E00105,2025,3724000000,consolidated,,,2026,1
E00105,2026,5996000000,consolidated,1394,790,2026,0
E00107,2022,9817000000,consolidated,,,2026,4
E00107,2023,6247000000,consolidated,,,2026,3
E00107,2024,12750000000,consolidated,,,2026,2
E00107,2025,23071000000,consolidated,,,2026,1
E00107,2026,29287000000,consolidated,2705,2128,2026,0
E00109,2022,2421000000,nonconsolidated,,,2026,4
E00109,2023,3366000000,nonconsolidated,,,2026,3
E00109,2024,3709000000,nonconsolidated,,,2026,2
E00109,2025,4139000000,nonconsolidated,,,2026,1
E00109,2026,3843000000,nonconsolidated,,520,2026,0
E00112,2022,7576468000,consolidated,,,2026,4
E00112,2023,9487940000,consolidated,,,2026,3
E00112,2024,12106057000,consolidated,,,2026,2
E00112,2025,16035361000,consolidated,,,2026,1
E00112,2026,18220493000,consolidated,1921,1714,2026,0
E00113,2022,13125000000,consolidated,,,2026,4
E00113,2023,15092000000,consolidated,,,2026,3
E00113,2024,11512000000,consolidated,,,2026,2
E00113,2025,13808000000,consolidated,,,2026,1
E00113,2026,16246000000,consolidated,1878,1525,2026,0
E00115,2022,8703000000,consolidated,,,2026,4
E00115,2023,10903000000,consolidated,,,2026,3
E00115,2024,14900000000,consolidated,,,2026,2
E00115,2025,19400000000,consolidated,,,2026,1
E00115,2026,25278000000,consolidated,4645,2582,2026,0
E00117,2022,4636000000,nonconsolidated,,,2026,4
E00117,2023,2585000000,nonconsolidated,,,2026,3
E00117,2024,4020000000,nonconsolidated,,,2026,2
E00117,2025,6769000000,consolidated,,,2026,1
E00117,2026,8954000000,consolidated,722,680,2026,0
E00118,2022,1869000000,consolidated,,,2026,4
E00118,2023,1824000000,consolidated,,,2026,3
E00118,2024,1625000000,consolidated,,,2026,2
E00118,2025,2388000000,consolidated,,,2026,1
E00118,2026,2856000000,consolidated,511,458,2026,0
E00119,2022,1493000000,consolidated,,,2026,4
E00119,2023,1575000000,consolidated,,,2026,3
E00119,2024,1714000000,consolidated,,,2026,2
E00119,2025,3003000000,consolidated,,,2026,1
E00119,2026,3110000000,consolidated,748,490,2026,0
E00120,2022,4904000000,consolidated,,,2026,4
E00120,2023,5918000000,consolidated,,,2026,3
E00120,2024,4306000000,consolidated,,,2026,2
E00120,2025,6545000000,consolidated,,,2026,1
E00120,2026,7048000000,consolidated,1806,1264,2026,0
E00121,2022,739000000,consolidated,,,2026,4
E00121,2023,1833000000,consolidated,,,2026,3
E00121,2024,210000000,consolidated,,,2026,2
E00121,2025,968000000,consolidated,,,2026,1
E00121,2026,1717000000,consolidated,463,385,2026,0
E00130,2022,1855000000,nonconsolidated,,,2026,4
E00130,2023,795000000,nonconsolidated,,,2026,3
E00130,2024,1033000000,nonconsolidated,,,2026,2
E00130,2025,1046000000,nonconsolidated,,,2026,1
E00130,2026,1314000000,nonconsolidated,,311,2026,0
E00135,2022,1595000000,consolidated,,,2026,4
E00135,2023,1307000000,consolidated,,,2026,3
E00135,2024,2052000000,consolidated,,,2026,2
E00135,2025,2848000000,consolidated,,,2026,1
E00135,2026,3386000000,consolidated,1293,1263,2026,0
E00137,2022,10040000000,consolidated,,,2026,4
E00137,2023,10501000000,consolidated,,,2026,3
E00137,2024,11885000000,consolidated,,,2026,2
E00137,2025,17302000000,consolidated,,,2026,1
E00137,2026,18901000000,consolidated,5818,3857,2026,0
E00138,2022,3896910000,consolidated,,,2026,4
E00138,2023,2517191000,consolidated,,,2026,3
E00138,2024,2331818000,consolidated,,,2026,2
E00138,2025,5283756000,consolidated,,,2026,1
E00138,2026,6120237000,consolidated,1161,805,2026,0
E00142,2022,4626000000,consolidated,,,2026,4
E00142,2023,5462000000,consolidated,,,2026,3
E00142,2024,4397000000,consolidated,,,2026,2
E00142,2025,3764000000,consolidated,,,2026,1
E00142,2026,6035000000,consolidated,1206,1023,2026,0
E00144,2022,3507000000,consolidated,,,2026,4
E00144,2023,3678000000,consolidated,,,2026,3
E00144,2024,3698000000,consolidated,,,2026,2
E00144,2025,6913000000,consolidated,,,2026,1
E00144,2026,5468000000,consolidated,940,686,2026,0
E00146,2022,36828000000,consolidated,,,2026,4
E00146,2023,35462000000,consolidated,,,2026,3
E00146,2024,42362000000,consolidated,,,2026,2
E00146,2025,44434000000,consolidated,,,2026,1
E00146,2026,58157000000,consolidated,11122,6886,2026,0
E00147,2022,28111000000,consolidated,,,2026,4
E00147,2023,19039000000,consolidated,,,2026,3
E00147,2024,25483000000,consolidated,,,2026,2
E00147,2025,29088000000,consolidated,,,2026,1
E00147,2026,43984000000,consolidated,7286,4404,2026,0
E00148,2022,6174000000,consolidated,,,2026,4
E00148,2023,7259000000,consolidated,,,2026,3
E00148,2024,9588000000,consolidated,,,2026,2
E00148,2025,8616000000,consolidated,,,2026,1
E00148,2026,13698000000,consolidated,1491,1032,2026,0
E00149,2022,15639000000,consolidated,,,2026,4
E00149,2023,16685000000,consolidated,,,2026,3
E00149,2024,26150000000,consolidated,,,2026,2
E00149,2025,34970000000,consolidated,,,2026,1
E00149,2026,50642000000,consolidated,7287,2469,2026,0
E00153,2022,2596000000,consolidated,,,2026,4
E00153,2023,3127000000,consolidated,,,2026,3
E00153,2024,4896000000,consolidated,,,2026,2
E00153,2025,7582000000,consolidated,,,2026,1
E00153,2026,12031000000,consolidated,1148,1080,2026,0
E00157,2022,4227000000,consolidated,,,2026,4
E00157,2023,5355000000,consolidated,,,2026,3
E00157,2024,6486000000,consolidated,,,2026,2
E00157,2025,6596000000,consolidated,,,2026,1
E00157,2026,8320000000,consolidated,2040,1161,2026,0
E00161,2022,5641000000,consolidated,,,2026,4
