rank_adj,rank_raw,rank_delta,sec_code,name,tse33,listed,avg_age,avg_tenure,avg_salary,salary35,factor,employees_nonconsolidated,employees_consolidated,emp_ratio,badge,salary35_fit,industry,source,period_end,doc_id
456,516,60,6859,エスペック株式会社,電気機器,上場,39.7,14.4,7928000.0,7324975,0.9239,845.0,1898.0,0.4452,,7077809,製造業,tag,2026-03-31,S100YG4Z
457,377,-80,8007,高島株式会社,卸売業,上場,43.5,12.4,8404000.0,7324472,0.8715,220.0,1200.0,0.1833,,7263113,卸売業・小売業,tag,2026-03-31,S100YCID
458,514,56,9351,東洋埠頭株式会社,倉庫・運輸関連,上場,44.6,19.7,7936247.0,7322576,0.9227,331.0,848.0,0.3903,,6898214,運輸業,tag,2026-03-31,S100YELE
459,433,-26,2801,キッコーマン株式会社,食料品,上場,43.1,13.4,8210646.0,7314736,0.8909,672.0,7911.0,0.0849,本社のみ,7091614,製造業,tag,2026-03-31,S100YE5V
460,1000,540,6562,株式会社ジーニー,情報・通信業,上場,32.9,2.9,6783000.0,7313241,1.0782,460.0,816.0,0.5637,,7197178,情報通信業,tag,2026-03-31,S100YNBB
461,517,56,7510,株式会社たけびし,卸売業,上場,39.7,16.5,7909000.0,7311870,0.9245,449.0,858.0,0.5233,,7060847,卸売業・小売業,tag,2026-03-31,S100YHGY
462,411,-51,9991,ジェコス株式会社,卸売業,上場,42.7,17.1,8285231.0,7309441,0.8822,764.0,1762.0,0.4336,,7158232,卸売業・小売業,tag,2026-03-31,S100YD7I
463,509,46,4401,株式会社ＡＤＥＫＡ,化学,上場,40.2,17.1,7952220.0,7307004,0.9189,1827.0,5434.0,0.3362,,7036909,製造業,tag,2026-03-31,S100YBCU
464,369,-95,5602,株式会社栗本鐵工所,鉄鋼,上場,45.7,21.0,8419706.0,7306157,0.8677,1380.0,2238.0,0.6166,,7386829,製造業,tag,2026-03-31,S100YDW9
465,473,8,4461,第一工業製薬株式会社,化学,上場,41.4,15.6,8054710.0,7304901,0.9069,611.0,1155.0,0.529,,7013721,製造業,tag,2026-03-31,S100YCSC
466,494,28,1914,日本基礎技術株式会社,建設業,上場,43.7,18.4,7989013.0,7304744,0.9143,346.0,391.0,0.8849,,6908835,建設業,tag,2026-03-31,S100YGM2
467,624,157,1959,株式会社クラフティア,建設業,上場,38.9,15.7,7620000.0,7301675,0.9582,6886.0,11122.0,0.6191,,6913949,建設業,tag,2026-03-31,S100YI0L
468,460,-8,4951,エステー株式会社,化学,上場,42.0,15.4,8102383.0,7300651,0.901,460.0,739.0,0.6225,,7020613,製造業,tag,2026-03-31,S100YD9M
469,589,120,9324,安田倉庫株式会社,倉庫・運輸関連,上場,39.5,12.8,7715711.0,7298700,0.946,488.0,2581.0,0.1891,,6914741,運輸業,tag,2026-03-31,S100YEO5
470,946,476,7089,フォースタートアップス株式会社,サービス業,上場,30.6,2.58,6877000.0,7290982,1.0602,238.0,252.0,0.9444,,7953131,サービス業,tag,2026-03-31,S100YIA4
471,400,-71,1892,徳倉建設株式会社,建設業,上場,46.4,17.6,8315000.0,7290778,0.8768,435.0,808.0,0.5384,,7339763,建設業,tag,2026-03-31,S100YKW2
472,416,-56,8081,株式会社カナデン,卸売業,上場,42.7,17.3,8262000.0,7288946,0.8822,620.0,904.0,0.6858,,7138161,卸売業・小売業,tag,2026-03-31,S100YFEF
473,341,-132,,野村貿易株式会社,卸売業,非上場,44.7,16.23,8512000.0,7286297,0.856,222.0,1810.0,0.1227,,7404202,卸売業・小売業,textblock,2026-03-31,S100YH7K
474,526,52,1968,太平電業株式会社,建設業,上場,43.0,16.7,7877000.0,7283137,0.9246,1525.0,1878.0,0.812,,6803356,建設業,tag,2026-03-31,S100YJVV
475,594,119,4732,株式会社ユー・エス・エス,サービス業,上場,39.4,13.0,7697000.0,7277761,0.9455,725.0,1211.0,0.5987,,6911605,サービス業,tag,2026-03-31,S100YGIC
476,497,21,7837,株式会社アールシーコア,その他製品,上場,40.9,9.8,7981000.0,7277498,0.9119,134.0,229.0,0.5852,,6989615,製造業,tag,2026-03-31,S100YDAM
477,360,-117,4902,コニカミノルタ株式会社,電気機器,上場,46.4,20.7,8441281.0,7274012,0.8617,3888.0,34363.0,0.1131,,7451233,製造業,tag,2026-03-31,S100YB93
478,501,23,4272,日本化薬株式会社,化学,上場,41.0,14.8,7976000.0,7265020,0.9109,2366.0,5946.0,0.3979,,6976404,製造業,tag,2026-03-31,S100YD4R
479,456,-23,1827,株式会社ナカノフドー建設,建設業,上場,45.1,16.1,8121691.0,7264839,0.8945,790.0,1394.0,0.5667,,7087650,建設業,tag,2026-03-31,S100YHMT
480,656,176,,首都圏新都市鉄道株式会社,陸運業,非上場,37.4,13.2,7529000.0,7260218,0.9643,803.0,,,,7075171,運輸業,textblock,2026-03-31,S100YLFJ
481,458,-23,7979,株式会社松風,精密機器,上場,42.72,16.24,8113619.0,7256578,0.8944,536.0,1462.0,0.3666,,7009695,製造業,tag,2026-03-31,S100YGMA
482,451,-31,2109,ＤＭ三井製糖株式会社,食料品,上場,43.38,18.28,8154131.0,7243586,0.8883,428.0,1550.0,0.2761,,7045200,製造業,tag,2026-03-31,S100YCZI
483,420,-63,8830,住友不動産株式会社,不動産業,上場,42.65,10.28,8242230.0,7241822,0.8786,2021.0,14116.0,0.1432,,7121837,不動産業,tag,2026-03-31,S100YI5D
484,436,-48,8154,加賀電子株式会社,卸売業,上場,42.6,13.9,8196000.0,7241811,0.8836,583.0,9374.0,0.0622,本社のみ,7082754,卸売業・小売業,tag,2026-03-31,S100YNQJ
485,731,246,2980,ＳＲＥホールディングス株式会社,不動産業,上場,35.6,2.6,7371000.0,7227822,0.9806,144.0,533.0,0.2702,,7254357,不動産業,tag,2026-03-31,S100YJPC
486,1065,579,3923,株式会社ラクス,情報・通信業,上場,32.7,3.2,6647000.0,7220365,1.0863,2190.0,3569.0,0.6136,,7096714,情報通信業,tag,2026-03-31,S100YL65
487,464,-23,6724,セイコーエプソン株式会社,電気機器,上場,42.9,18.1,8087000.0,7219390,0.8927,12311.0,74619.0,0.165,,6985057,製造業,tag,2026-03-31,S100YJ6A
488,508,20,1848,株式会社富士ピー・エス,建設業,上場,44.2,15.9,7956439.0,7217755,0.9072,434.0,491.0,0.8839,,6897348,建設業,tag,2026-03-31,S100YG4M
489,482,-7,4997,日本農薬株式会社,化学,上場,42.3,14.7,8030534.0,7213463,0.8983,395.0,1527.0,0.2587,,6947097,製造業,tag,2026-03-31,S100YATP
490,371,-119,5844,株式会社京都フィナンシャルグループ,銀行業,上場,42.9,16.7,8415000.0,7211892,0.857,271.0,3676.0,0.0737,本社のみ,7268363,金融業・保険業,tag,2026-03-31,S100YEHZ
491,481,-10,6963,ローム株式会社,電気機器,上場,42.4,14.0,8035000.0,7210019,0.8973,4199.0,21756.0,0.193,,6948081,製造業,tag,2026-03-31,S100YF41
492,535,43,2053,中部飼料株式会社,食料品,上場,40.3,14.8,7853807.0,7208659,0.9179,444.0,508.0,0.874,,6938491,製造業,tag,2026-03-31,S100YF88
493,493,0,7731,株式会社ニコン,精密機器,上場,41.9,13.7,7989362.0,7206575,0.902,4656.0,19928.0,0.2336,,6927288,製造業,tag,2026-03-31,S100YKBP
494,557,63,1938,日本リーテック株式会社,建設業,上場,43.0,15.5,7792000.0,7204545,0.9246,1124.0,1434.0,0.7838,,6729941,建設業,tag,2026-03-31,S100YI6M
495,542,47,4972,綜研化学株式会社,化学,上場,40.1,14.5,7829000.0,7201692,0.9199,348.0,1097.0,0.3172,,6939516,製造業,tag,2026-03-31,S100YFCG
496,552,56,6365,株式会社電業社機械製作所,機械,上場,39.8,16.1,7802000.0,7200607,0.9229,495.0,556.0,0.8903,,6952404,製造業,tag,2026-03-31,S100YI72
497,309,-188,9605,東映株式会社,情報・通信業,上場,43.3,14.1,8632825.0,7199150,0.8339,445.0,1965.0,0.2265,,7457732,情報通信業,tag,2026-03-31,S100YI7S
498,432,-66,4975,株式会社ＪＣＵ,化学,上場,44.7,16.6,8212859.0,7198579,0.8765,250.0,567.0,0.4409,,7143993,製造業,tag,2026-03-31,S100YIEL
499,513,14,4043,株式会社トクヤマ,化学,上場,41.45,16.82,7940277.0,7197219,0.9064,2652.0,6390.0,0.415,,6910662,製造業,tag,2026-03-31,S100YDQ3
500,1168,668,299A,クラシル株式会社,情報・通信業,上場,31.8,2.8,6417000.0,7196231,1.1214,219.0,221.0,0.991,,7061663,情報通信業,tag,2026-03-31,S100YH46
501,375,-126,,東日本建設業保証株式会社,保険業,非上場,43.2,18.1,8407106.0,7193671,0.8557,254.0,337.0,0.7537,,7261812,金融業・保険業,textblock,2026-03-31,S100YH9N
502,399,-103,7157,ライフネット生命保険株式会社,保険業,上場,41.8,6.3,8319851.0,7190622,0.8643,242.0,242.0,1.0,,7219093,金融業・保険業,tag,2026-03-31,S100YC7R
503,599,96,7552,株式会社ハピネット,卸売業,上場,39.0,13.0,7689000.0,7188737,0.9349,512.0,1113.0,0.46,,6961616,卸売業・小売業,tag,2026-03-31,S100YCH4
504,484,-20,9424,日本通信株式会社,情報・通信業,上場,39.4,8.9,8022000.0,7188598,0.8961,135.0,156.0,0.8654,,7203442,情報通信業,tag,2026-03-31,S100YBU3
505,459,-46,6508,株式会社明電舎,電気機器,上場,43.6,18.8,8107973.0,7186413,0.8863,3975.0,10082.0,0.3943,,7009311,製造業,tag,2026-03-31,S100YIHP
506,571,65,4205,日本ゼオン株式会社,化学,上場,39.6,14.3,7763347.0,7180777,0.925,2503.0,4425.0,0.5656,,6943973,製造業,tag,2026-03-31,S100YJ12
507,1211,704,8771,イー・ギャランティ株式会社,その他金融業,上場,31.0,5.8,6314000.0,7171989,1.1359,190.0,194.0,0.9794,,7171354,金融業・保険業,tag,2026-03-31,S100YKOI
508,445,-63,6455,株式会社モリタホールディングス,輸送用機器,上場,44.6,12.45,8170179.0,7168403,0.8774,104.0,1786.0,0.0582,本社のみ,7101549,製造業,tag,2026-03-31,S100YE56
509,506,-3,4956,コニシ株式会社,化学,上場,42.11,17.48,7959000.0,7163282,0.9,725.0,1561.0,0.4644,,6891828,製造業,tag,2026-03-31,S100YC07
510,519,9,8892,株式会社エスコン,不動産業,上場,40.0,5.0,7902346.0,7163232,0.9065,320.0,487.0,0.6571,,7016627,不動産業,tag,2026-03-31,S100YGKW
511,469,-42,429A,テクセンドフォトマスク株式会社,精密機器,上場,43.5,3.3,8070000.0,7160062,0.8872,499.0,1944.0,0.2567,,6974455,製造業,tag,2026-03-31,S100YJ5L
512,534,22,4549,栄研化学株式会社,医薬品,上場,41.0,13.0,7856285.0,7155976,0.9109,696.0,696.0,1.0,,6871692,製造業,tag,2026-03-31,S100YD7R
513,491,-22,4559,ゼリア新薬工業株式会社,医薬品,上場,42.7,17.96,7991507.0,7148836,0.8946,872.0,1748.0,0.4989,,6904462,製造業,tag,2026-03-31,S100YKC2
514,663,149,3850,株式会社エヌ・ティ・ティ・データ・イントラマート,情報・通信業,上場,36.5,7.1,7518000.0,7147823,0.9508,314.0,508.0,0.6181,,7227456,情報通信業,tag,2026-03-31,S100YBTF
515,468,-47,8052,椿本興業株式会社,卸売業,上場,42.5,15.5,8076038.0,7146778,0.8849,568.0,808.0,0.703,,6981109,卸売業・小売業,tag,2026-03-31,S100YIO8
516,541,25,1333,Ｕｍｉｏｓ株式会社,水産・農林業,上場,41.0,14.4,7831821.0,7144145,0.9122,1738.0,12479.0,0.1393,,6850294,産業計,tag,2026-03-31,S100YCK1
517,775,258,6027,弁護士ドットコム株式会社,サービス業,上場,36.4,3.4,7247000.0,7141328,0.9854,613.0,639.0,0.9593,,6984908,サービス業,tag,2026-03-31,S100YFWI
518,593,75,6144,西部電機株式会社,機械,上場,39.4,14.7,7702000.0,7139821,0.927,620.0,681.0,0.9104,,6916094,製造業,tag,2026-03-31,S100YLBS
519,498,-21,4547,キッセイ薬品工業株式会社,医薬品,上場,42.7,18.2,7980826.0,7139282,0.8946,1297.0,1786.0,0.7262,,6895233,製造業,tag,2026-03-31,S100YFN3
520,476,-44,6448,ブラザー工業株式会社,電気機器,上場,43.6,13.9,8053735.0,7138340,0.8863,3997.0,39495.0,0.1012,,6962422,製造業,tag,2026-03-31,S100YECO
521,659,138,4301,株式会社アミューズ,サービス業,上場,39.18,11.44,7523505.0,7136272,0.9485,253.0,601.0,0.421,,6786082,サービス業,tag,2026-03-31,S100YBX4
522,559,37,8354,株式会社ふくおかフィナンシャルグループ,銀行業,上場,38.7,10.8,7789000.0,7133798,0.9159,328.0,8050.0,0.0407,本社のみ,7098282,金融業・保険業,tag,2026-03-31,S100YFNB
523,462,-61,1515,日鉄鉱業株式会社,鉱業,上場,42.7,17.5,8098633.0,7130846,0.8805,723.0,2175.0,0.3324,,6997016,鉱業,tag,2026-03-31,S100YI8I
524,385,-139,8706,極東証券株式会社,証券、商品先物取引業,上場,44.3,17.1,8378789.0,7127885,0.8507,227.0,238.0,0.9538,,7267929,金融業・保険業,tag,2026-03-31,S100YEU4
525,515,-10,2117,ウェルネオシュガー株式会社,食料品,上場,42.3,17.8,7934417.0,7127126,0.8983,450.0,755.0,0.596,,6863948,製造業,tag,2026-03-31,S100YIPK
526,388,-138,,株式会社西日本新聞社,その他製品,非上場,47.63,19.21,8372400.0,7126727,0.8512,410.0,1147.0,0.3575,,7450778,製造業,textblock,2026-03-31,S100YKLX
527,467,-60,9511,沖縄電力株式会社,電気・ガス業,上場,43.9,21.2,8079519.0,7126299,0.882,1511.0,3154.0,0.4791,,6992921,電気・ガス業,tag,2026-03-31,S100YGEA
528,435,-93,8334,株式会社　群馬銀行,銀行業,上場,41.5,17.9,8198000.0,7124158,0.869,2650.0,2899.0,0.9141,,7131549,金融業・保険業,tag,2026-03-31,S100Y8O1
529,311,-218,6632,株式会社ＪＶＣケンウッド,電気機器,上場,50.8,23.4,8628484.0,7118764,0.825,3125.0,15229.0,0.2052,,7747112,製造業,tag,2026-03-31,S100YG3R
530,561,31,5410,合同製鐵株式会社,鉄鋼,上場,40.6,18.4,7780705.0,7118133,0.9148,772.0,2168.0,0.3561,,6842375,製造業,tag,2026-03-31,S100YCUF
531,575,44,1904,大成温調株式会社,建設業,上場,43.4,17.9,7747438.0,7117707,0.9187,581.0,783.0,0.742,,6694091,建設業,tag,2026-03-31,S100YIC7
532,758,226,8869,明和地所株式会社,不動産業,上場,35.8,7.3,7300000.0,7112151,0.9743,406.0,615.0,0.6602,,7146771,不動産業,tag,2026-03-31,S100YJF1
533,635,102,9008,京王電鉄株式会社,陸運業,上場,40.5,17.7,7583834.0,7109536,0.9375,2429.0,13079.0,0.1857,,6679135,運輸業,tag,2026-03-31,S100YF0G
534,532,-2,4762,株式会社エックスネット,情報・通信業,上場,38.9,9.0,7862498.0,7107877,0.904,208.0,,,,7133977,情報通信業,tag,2026-03-31,S100YKNO
535,477,-58,4095,日本パーカライジング株式会社,化学,上場,44.0,17.6,8050517.0,7106482,0.8827,906.0,4283.0,0.2115,,6971208,製造業,tag,2026-03-31,S100YJGK
536,960,424,296A,令和アカウンティング・ホールディングス株式会社,サービス業,上場,31.79,3.66,6854000.0,7106044,1.0368,244.0,326.0,0.7485,,7545307,サービス業,tag,2026-03-31,S100YAIC
537,588,51,2060,フィード・ワン株式会社,食料品,上場,40.1,15.9,7723000.0,7104185,0.9199,586.0,935.0,0.6267,,6845559,製造業,tag,2026-03-31,S100YC1Q
538,565,27,7259,株式会社アイシン,輸送用機器,上場,40.7,17.3,7772000.0,7102403,0.9138,34956.0,113292.0,0.3085,,6824957,製造業,tag,2026-03-31,S100YAWO
539,590,51,9202,ＡＮＡホールディングス株式会社,空運業,上場,46.2,2.9,7709000.0,7101911,0.9212,286.0,47826.0,0.006,本社のみ,6793347,運輸業,tag,2026-03-31,S100YKL4
540,549,9,6273,ＳＭＣ株式会社,機械,上場,41.1,19.7,7804768.0,7101320,0.9099,6560.0,24773.0,0.2648,,6818386,製造業,tag,2026-03-31,S100YLC6
541,496,-45,,水道機工株式会社,機械,非上場,43.3,13.0,7981646.0,7096167,0.8891,249.0,744.0,0.3347,,6895191,製造業,tag,2026-03-31,S100YLZK
542,524,-18,6471,日本精工株式会社,機械,上場,42.1,16.6,7879335.0,7092317,0.9001,7231.0,26278.0,0.2752,,6823232,製造業,tag,2026-03-31,S100YFE3
543,389,-154,8418,株式会社山口フィナンシャルグループ,銀行業,上場,45.1,19.3,8371000.0,7091365,0.8471,529.0,3459.0,0.1529,,7305218,金融業・保険業,tag,2026-03-31,S100YE1V
544,299,-245,,信越放送株式会社,情報・通信業,非上場,44.4,19.4,8698000.0,7091268,0.8153,120.0,181.0,0.663,,7549726,情報通信業,textblock,2026-03-31,S100YIFJ
545,510,-35,7951,ヤマハ株式会社,その他製品,上場,43.0,18.0,7947497.0,7087570,0.8918,3449.0,17886.0,0.1928,,6864244,製造業,tag,2026-03-31,S100YJE7
546,521,-25,7211,三菱自動車工業株式会社,輸送用機器,上場,42.4,16.0,7895000.0,7084393,0.8973,13498.0,27695.0,0.4874,,6827019,製造業,tag,2026-03-31,S100YCMC
547,472,-75,6282,オイレス工業株式会社,機械,上場,44.4,17.5,8056691.0,7083140,0.8792,833.0,2065.0,0.4034,,6993080,製造業,tag,2026-03-31,S100YLBX
548,397,-151,8793,ＮＥＣキャピタルソリューション株式会社,その他金融業,上場,44.3,14.6,8325000.0,7082126,0.8507,625.0,924.0,0.6764,,7221271,金融業・保険業,tag,2026-03-31,S100YEUV
549,512,-37,,興和株式会社,卸売業,非上場,42.05,17.01,7942106.0,7077187,0.8911,3246.0,7906.0,0.4106,,6879608,卸売業・小売業,textblock,2026-03-31,S100YL6P
550,555,5,7313,テイ・エス　テック株式会社,輸送用機器,上場,41.4,17.6,7796981.0,7071164,0.9069,1649.0,13558.0,0.1216,,6789301,製造業,tag,2026-03-31,S100YCXB
551,640,89,5445,東京鐵鋼株式会社,鉄鋼,上場,38.9,13.4,7577000.0,7063076,0.9322,607.0,815.0,0.7448,,6874933,製造業,tag,2026-03-31,S100YJ6R
552,314,-238,4832,ＪＦＥシステムズ株式会社,情報・通信業,上場,44.1,19.0,8610129.0,7062711,0.8203,1600.0,1960.0,0.8163,,7459751,情報通信業,tag,2026-03-31,S100YCWP
553,556,3,,松尾建設株式会社,建設業,非上場,44.3,17.9,7793000.0,7058389,0.9057,686.0,940.0,0.7298,,6759804,建設業,textblock,2026-03-31,S100YHNJ
554,638,84,2001,株式会社ニップン,食料品,上場,39.0,14.0,7579460.0,7057506,0.9311,1244.0,3935.0,0.3161,,6862438,製造業,tag,2026-03-31,S100YIC9
555,560,5,5741,株式会社ＵＡＣＪ,非鉄金属,上場,41.4,15.5,7781000.0,7056670,0.9069,3943.0,10183.0,0.3872,,6775386,製造業,tag,2026-03-31,S100YCV0
556,577,21,6305,日立建機株式会社,機械,上場,41.1,15.2,7744000.0,7046029,0.9099,5926.0,25304.0,0.2342,,6765298,製造業,tag,2026-03-31,S100YIBR
557,605,48,4062,イビデン株式会社,電気機器,上場,40.2,16.9,7663191.0,7041426,0.9189,4036.0,11105.0,0.3634,,6781147,製造業,tag,2026-03-31,S100YC4B
558,614,56,7270,株式会社ＳＵＢＡＲＵ,輸送用機器,上場,40.0,15.7,7643520.0,7038813,0.9209,17948.0,37542.0,0.4781,,6786811,製造業,tag,2026-03-31,S100YFKZ
559,646,87,6306,日工株式会社,機械,上場,39.0,13.4,7559261.0,7038698,0.9311,692.0,1169.0,0.592,,6844150,製造業,tag,2026-03-31,S100YH1J
560,573,13,3116,トヨタ紡織株式会社,輸送用機器,上場,41.3,17.6,7751383.0,7037439,0.9079,8655.0,45521.0,0.1901,,6756573,製造業,tag,2026-03-31,S100Y9AH
561,586,25,8341,株式会社七十七銀行,銀行業,上場,39.0,16.0,7726000.0,7035442,0.9106,2190.0,2456.0,0.8917,,6995115,金融業・保険業,tag,2026-03-31,S100YAM0
562,466,-96,8566,リコーリース株式会社,その他金融業,上場,41.5,13.5,8082000.0,7023353,0.869,1152.0,1686.0,0.6833,,7030639,金融業・保険業,tag,2026-03-31,S100YF3N
563,490,-73,6925,ウシオ電機株式会社,電気機器,上場,44.5,20.4,7993595.0,7020562,0.8783,1475.0,5898.0,0.2501,,6943072,製造業,tag,2026-03-31,S100YKRT
564,608,44,3692,株式会社ＦＦＲＩセキュリティ,情報・通信業,上場,38.1,4.9,7656000.0,7020379,0.917,172.0,236.0,0.7288,,7073625,情報通信業,tag,2026-03-31,S100YKWG
565,446,-119,4203,住友ベークライト株式会社,化学,上場,46.7,22.0,8170000.0,7019353,0.8592,1684.0,7524.0,0.2238,,7228985,製造業,tag,2026-03-31,S100YE8L
566,765,199,9021,西日本旅客鉄道株式会社,陸運業,上場,37.4,13.7,7276931.0,7017148,0.9643,22524.0,47225.0,0.477,,6838296,運輸業,tag,2026-03-31,S100YCFK
567,889,322,2326,デジタルアーツ株式会社,情報・通信業,上場,34.9,7.1,6990000.0,7014217,1.0035,279.0,279.0,1.0,,7008788,情報通信業,tag,2026-03-31,S100YKKS
568,581,13,6473,株式会社ジェイテクト,機械,上場,41.4,17.2,7732683.0,7012851,0.9069,11109.0,43233.0,0.257,,6733313,製造業,tag,2026-03-31,S100YEL3
569,544,-25,5451,株式会社ヨドコウ,鉄鋼,上場,42.5,20.8,7822251.0,7011870,0.8964,1228.0,2377.0,0.5166,,6761730,製造業,tag,2026-03-31,S100YEVQ
570,452,-118,,三井住友海上火災保険株式会社,保険業,非上場,42.2,14.8,8148828.0,7009823,0.8602,12731.0,23039.0,0.5526,,7052796,金融業・保険業,textblock,2026-03-31,S100YN6S
571,533,-38,6418,日本金銭機械株式会社,機械,上場,43.1,15.8,7861000.0,7003242,0.8909,271.0,572.0,0.4738,,6789622,製造業,tag,2026-03-31,S100YHD7
572,525,-47,5632,三菱製鋼株式会社,鉄鋼,上場,43.3,20.2,7877000.0,7003131,0.8891,695.0,3864.0,0.1799,,6804790,製造業,tag,2026-03-31,S100YCQQ
573,580,7,2270,雪印メグミルク株式会社,食料品,上場,41.6,16.0,7733539.0,6998454,0.9049,3172.0,5844.0,0.5428,,6721373,製造業,tag,2026-03-31,S100YC5I
574,598,24,7942,株式会社ジェイエスピー,化学,上場,41.2,14.8,7692000.0,6991113,0.9089,751.0,3096.0,0.2426,,6712140,製造業,tag,2026-03-31,S100YEL0
575,564,-11,7637,白銅株式会社,卸売業,上場,41.5,15.7,7775748.0,6988064,0.8987,322.0,401.0,0.803,,6764227,卸売業・小売業,tag,2026-03-31,S100YI9D
576,479,-97,6588,東芝テック株式会社,電気機器,上場,45.69,14.99,8044000.0,6980837,0.8678,2894.0,15078.0,0.1919,,7056577,製造業,tag,2026-03-31,S100YHCF
577,664,87,,いすゞリーシングサービス株式会社,その他金融業,非上場,38.0,5.5,7516000.0,6977848,0.9284,349.0,,,,6960739,金融業・保険業,textblock,2026-03-31,S100YFCY
578,454,-124,3853,アステリア株式会社,情報・通信業,上場,41.9,9.5,8126954.0,6977306,0.8585,115.0,145.0,0.7931,,7046589,情報通信業,tag,2026-03-31,S100YGH9
579,607,28,2296,伊藤ハム米久ホールディングス株式会社,食料品,上場,41.0,16.4,7659584.0,6976809,0.9109,777.0,6805.0,0.1142,,6699643,製造業,tag,2026-03-31,S100YCXD
580,945,365,554A,株式会社バトンズ,情報・通信業,上場,34.6,2.7,6880000.0,6976346,1.014,126.0,,,,6954628,情報通信業,tag,2026-03-31,S100YNO3
581,522,-59,7762,シチズン時計株式会社,精密機器,上場,43.9,17.4,7894999.0,6976291,0.8836,770.0,12147.0,0.0634,本社のみ,6833216,製造業,tag,2026-03-31,S100YGYK
582,591,9,2602,日清オイリオグループ株式会社,食料品,上場,41.6,17.3,7706494.0,6973980,0.9049,1295.0,3286.0,0.3941,,6697867,製造業,tag,2026-03-31,S100YB17
583,538,-45,9531,東京瓦斯株式会社,電気・ガス業,上場,43.3,19.5,7840953.0,6966463,0.8885,3769.0,16001.0,0.2355,,6773649,電気・ガス業,tag,2026-03-31,S100YH8W
584,548,-36,4665,株式会社ダスキン,サービス業,上場,46.1,18.2,7812432.0,6964010,0.8914,1964.0,3750.0,0.5237,,6878520,サービス業,tag,2026-03-31,S100YEAI
585,465,-120,8359,株式会社八十二長野銀行,銀行業,上場,42.1,15.5,8082000.0,6956043,0.8607,3773.0,4128.0,0.914,,6998733,金融業・保険業,tag,2026-03-31,S100YAUN
586,529,-57,6941,山一電機株式会社,電気機器,上場,43.9,17.1,7868126.0,6952545,0.8836,398.0,2060.0,0.1932,,6809957,製造業,tag,2026-03-31,S100YHIH
587,629,42,4366,ダイトーケミックス株式会社,化学,上場,40.7,14.9,7604000.0,6948877,0.9138,252.0,328.0,0.7683,,6677429,製造業,tag,2026-03-31,S100YGAU
588,567,-21,4977,新田ゼラチン株式会社,化学,上場,42.7,14.3,7766568.0,6947616,0.8946,256.0,851.0,0.3008,,6710120,製造業,tag,2026-03-31,S100YHPC
589,507,-82,6209,リケンＮＰＲ株式会社,機械,上場,45.1,19.8,7958396.0,6947500,0.873,438.0,6511.0,0.0673,本社のみ,6945146,製造業,tag,2026-03-31,S100YHYP
590,658,68,6586,株式会社マキタ,機械,上場,39.8,16.5,7525657.0,6945565,0.9229,3435.0,17586.0,0.1953,,6706154,製造業,tag,2026-03-31,S100YH4M
591,275,-316,8056,ＢＩＰＲＯＧＹ株式会社,情報・通信業,上場,46.3,20.4,8846208.0,6943840,0.785,4359.0,8801.0,0.4953,,7802137,情報通信業,tag,2026-03-31,S100YFCP
592,633,41,9534,北海道瓦斯株式会社,電気・ガス業,上場,40.6,18.7,7596000.0,6937762,0.9133,876.0,1641.0,0.5338,,6679945,電気・ガス業,tag,2026-03-31,S100YGOL
593,673,80,6507,シンフォニアテクノロジー株式会社,電気機器,上場,39.5,16.1,7492000.0,6937462,0.926,2080.0,3729.0,0.5578,,6714253,製造業,tag,2026-03-31,S100YI4V
594,647,53,7481,尾家産業株式会社,卸売業,上場,40.2,14.2,7559000.0,6933008,0.9172,832.0,873.0,0.953,,6688949,卸売業・小売業,tag,2026-03-31,S100YDVR
595,606,11,6638,株式会社ミマキエンジニアリング,電気機器,上場,41.6,10.6,7661204.0,6932995,0.9049,936.0,2152.0,0.4349,,6658505,製造業,tag,2026-03-31,S100YCRC
596,585,-11,1417,株式会社ミライト・ワン,建設業,上場,44.9,17.8,7726016.0,6932409,0.8973,3589.0,17709.0,0.2027,,6731123,建設業,tag,2026-03-31,S100YG40
597,630,33,5393,ニチアス株式会社,ガラス・土石製品,上場,40.9,13.9,7599855.0,6929950,0.9119,1930.0,6424.0,0.3004,,6655815,製造業,tag,2026-03-31,S100YG7B
598,362,-236,,大栄不動産株式会社,不動産業,非上場,47.8,12.9,8438000.0,6929095,0.8212,188.0,293.0,0.6416,,7514704,不動産業,textblock,2026-03-31,S100YHLE
599,686,87,3774,株式会社インターネットイニシアティブ,情報・通信業,上場,37.5,9.3,7472000.0,6926093,0.9269,3174.0,5533.0,0.5736,,7004291,情報通信業,tag,2026-03-31,S100YHYH
600,568,-32,5304,ＳＥＣカーボン株式会社,ガラス・土石製品,上場,43.0,18.0,7766222.0,6925909,0.8918,279.0,282.0,0.9894,,6707677,製造業,tag,2026-03-31,S100YDCX
601,769,168,1976,明星工業株式会社,建設業,上場,39.7,13.8,7260593.0,6922008,0.9534,362.0,768.0,0.4714,,6481974,建設業,tag,2026-03-31,S100YFOI
602,631,29,2892,日本食品化工株式会社,食料品,上場,41.0,17.0,7599000.0,6921626,0.9109,452.0,452.0,1.0,,6646651,製造業,tag,2026-03-31,S100YF39
603,628,25,1960,株式会社サンテック,建設業,上場,44.0,15.3,7606000.0,6921622,0.91,790.0,1483.0,0.5327,,6586286,建設業,tag,2026-03-31,S100YFBB
