rank_adj,rank_raw,rank_delta,sec_code,name,tse33,listed,avg_age,avg_tenure,avg_salary,salary35,factor,employees_nonconsolidated,employees_consolidated,emp_ratio,badge,salary35_fit,industry,source,period_end,doc_id
163,137,-26,,東京貿易ホールディングス株式会社,卸売業,非上場,43.8,6.6,9922000.0,8608402,0.8676,124.0,1264.0,0.0981,本社のみ,8583831,卸売業・小売業,tag,2026-03-31,S100YKBV
164,329,165,3092,株式会社ＺＯＺＯ,小売業,上場,34.7,7.5,8558000.0,8603279,1.0053,1662.0,1894.0,0.8775,,8627412,卸売業・小売業,tag,2026-03-31,S100Y951
165,167,2,4005,住友化学株式会社,化学,上場,42.4,16.7,9585195.0,8601050,0.8973,6465.0,27491.0,0.2352,,8288576,製造業,tag,2026-03-31,S100YAUO
166,150,-16,8424,芙蓉総合リース株式会社,その他金融業,上場,40.9,13.8,9788000.0,8600195,0.8786,876.0,4410.0,0.1986,,8572153,金融業・保険業,tag,2026-03-31,S100YF6A
167,215,48,6330,東洋エンジニアリング株式会社,建設業,上場,42.4,15.3,9202714.0,8591531,0.9336,973.0,4559.0,0.2134,,7957834,建設業,tag,2026-03-31,S100YI4K
168,156,-12,6622,株式会社ダイヘン,電気機器,上場,44.0,20.0,9732000.0,8590788,0.8827,1203.0,4542.0,0.2649,,8427260,製造業,tag,2026-03-31,S100YEET
169,142,-27,5830,株式会社いよぎんホールディングス,銀行業,上場,41.5,18.5,9873000.0,8579753,0.869,246.0,3098.0,0.0794,本社のみ,8588654,金融業・保険業,tag,2026-03-31,S100YBIB
170,333,163,4259,株式会社エクサウィザーズ,情報・通信業,上場,34.9,3.0,8550000.0,8579622,1.0035,270.0,624.0,0.4327,,8572981,情報通信業,tag,2026-03-31,S100YFZ6
171,264,93,9733,株式会社ナガセ,サービス業,上場,38.3,12.0,8917862.0,8567523,0.9607,486.0,1628.0,0.2985,,8201078,サービス業,tag,2026-03-31,S100YK8I
172,144,-28,6727,株式会社ワコム,電気機器,上場,45.5,11.5,9852000.0,8566137,0.8695,404.0,930.0,0.4344,,8627896,製造業,tag,2026-03-31,S100YHU2
173,272,99,1879,新日本建設株式会社,建設業,上場,38.1,12.5,8879186.0,8551837,0.9631,539.0,689.0,0.7823,,8203766,建設業,tag,2026-03-31,S100YHI2
174,185,11,1926,ライト工業株式会社,建設業,上場,44.3,17.5,9401000.0,8514810,0.9057,1028.0,1399.0,0.7348,,8154615,建設業,tag,2026-03-31,S100YIK2
175,168,-7,7575,日本ライフライン株式会社,卸売業,上場,42.1,10.2,9558154.0,8510659,0.8904,1085.0,1304.0,0.8321,,8277032,卸売業・小売業,tag,2026-03-31,S100YEH7
176,219,43,9042,阪急阪神ホールディングス株式会社,陸運業,上場,42.4,17.5,9198043.0,8504900,0.9246,241.0,23867.0,0.0101,本社のみ,7953795,運輸業,tag,2026-03-31,S100YCBL
177,249,72,1869,名工建設株式会社,建設業,上場,41.2,18.1,8995000.0,8494781,0.9444,1110.0,1235.0,0.8988,,7849155,建設業,tag,2026-03-31,S100YK2R
178,252,74,7175,今村証券株式会社,証券、商品先物取引業,上場,37.1,14.9,8987000.0,8492766,0.945,191.0,,,,8508750,金融業・保険業,tag,2026-03-31,S100YCMX
179,179,0,9502,中部電力株式会社,電気・ガス業,上場,42.5,19.0,9452983.0,8481420,0.8972,3367.0,22700.0,0.1483,,8171372,電気・ガス業,tag,2026-03-31,S100YDH0
180,164,-16,6525,株式会社ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,電気機器,上場,44.1,18.0,9607105.0,8471929,0.8818,1193.0,2609.0,0.4573,,8323524,製造業,tag,2026-03-31,S100YJUA
181,133,-48,7186,株式会社横浜フィナンシャルグループ,銀行業,上場,44.6,18.8,9952000.0,8452862,0.8494,701.0,6313.0,0.111,,8650314,金融業・保険業,tag,2026-03-31,S100YA32
182,183,1,6849,日本光電工業株式会社,電気機器,上場,42.6,15.8,9430148.0,8444475,0.8955,3768.0,6116.0,0.6161,,8149270,製造業,tag,2026-03-31,S100YHO8
183,196,13,4516,日本新薬株式会社,医薬品,上場,41.8,17.4,9349000.0,8442100,0.903,1902.0,2309.0,0.8237,,8112080,製造業,tag,2026-03-31,S100YGRG
184,186,2,9503,関西電力株式会社,電気・ガス業,上場,42.4,19.4,9389646.0,8434976,0.8983,8336.0,32482.0,0.2566,,8119479,電気・ガス業,tag,2026-03-31,S100YFXZ
185,171,-14,6590,芝浦メカトロニクス株式会社,電気機器,上場,43.8,18.5,9530954.0,8430452,0.8845,621.0,1269.0,0.4894,,8245525,製造業,tag,2026-03-31,S100YAST
186,282,96,4337,ぴあ株式会社,サービス業,上場,38.6,8.0,8805000.0,8422211,0.9565,437.0,621.0,0.7037,,8042094,サービス業,tag,2026-03-31,S100YDQN
187,270,83,,株式会社藤木工務店,建設業,非上場,40.8,17.2,8894000.0,8420542,0.9468,373.0,,,,7799501,建設業,textblock,2026-03-31,S100YL08
188,217,29,5333,ＮＧＫ株式会社,ガラス・土石製品,上場,40.7,15.4,9200112.0,8407476,0.9138,5024.0,19869.0,0.2529,,8079049,製造業,tag,2026-03-31,S100YF7M
189,401,212,4733,株式会社オービックビジネスコンサルタント,情報・通信業,上場,34.7,11.6,8314685.0,8401708,1.0105,1065.0,,,,8382124,情報通信業,tag,2026-03-31,S100YD49
